model,accuracy,precision,recall,f1,roc_auc,stage,model_clean
Logistic Regression (Base),0.9440845550630753,0.8072289156626506,0.3116279069767442,0.44966442953020136,0.8490442698974965,base,Logistic Regression
SVM (Base),0.9266962154790317,0.0,0.0,0.0,0.497419443161011,base,SVM
Random Forest (Base),0.9846573474258439,1.0,0.7906976744186046,0.8831168831168831,0.9826958947242329,base,Random Forest
LightGBM train() (Base),0.9819297647459939,0.9939024390243902,0.7581395348837209,0.8601583113456465,0.972111846946284,base,LightGBM
LGBMClassifier (Base),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9719817923575818,base,LightGBM
DeepFM (Base),0.9266962154790317,0.0,0.0,0.0,0.5983041566131047,base,DeepFM
Soft Voting (Base),0.9846573474258439,1.0,0.7906976744186046,0.8831168831168831,0.9735458699111863,base,Soft Voting Ensemble
Stacking (Base),0.9839754517558813,0.9883720930232558,0.7906976744186046,0.8785529715762274,0.966813833701251,base,Stacking Ensemble
Logistic Regression (Balanced),0.872144561882032,0.3283261802575107,0.7116279069767442,0.44933920704845814,0.8631962626418193,balanced,Logistic Regression
SVM (Balanced),0.6372315035799523,0.10947562097516099,0.5534883720930233,0.1827956989247312,0.6654961753683454,balanced,SVM
Random Forest (Balanced),0.9839754517558813,0.9883720930232558,0.7906976744186046,0.8785529715762274,0.9856281123260947,balanced,Random Forest
LGBMClassifier (Balanced),0.9836345039209001,0.9771428571428571,0.7953488372093023,0.8769230769230769,0.9735544261341273,balanced,LightGBM
DeepFM (Balanced),0.8758949880668258,0.31139240506329113,0.5720930232558139,0.40327868852459015,0.8167719082088404,balanced,DeepFM
Soft Voting Ensemble (Balanced),0.9832935560859188,0.9715909090909091,0.7953488372093023,0.8746803069053708,0.9638242894056848,balanced,Soft Voting Ensemble
Stacking Ensemble (Balanced),0.9839754517558813,0.9827586206896551,0.7953488372093023,0.8791773778920309,0.98243407430224,balanced,Stacking Ensemble
Logistic Regression (Tuned),0.885782475281282,0.3617511520737327,0.7302325581395349,0.48382126348228044,0.8631637489946438,tuned,Logistic Regression
SVM (Tuned),0.9679509035117627,0.7641921397379913,0.813953488372093,0.7882882882882883,0.9539230282184232,tuned,SVM
Random Forest (Tuned),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9843044646371306,tuned,Random Forest
LGBMClassifier (Tuned),0.984998295260825,1.0,0.7953488372093023,0.8860103626943006,0.9769358454403887,tuned,LightGBM
DeepFM (Tuned),0.8758949880668258,0.31139240506329113,0.5720930232558139,0.40327868852459015,0.8167719082088404,tuned,DeepFM
Soft Voting Ensemble (Tuned),0.9836345039209001,0.9826589595375722,0.7906976744186046,0.8762886597938144,0.9631688827284084,tuned,Soft Voting Ensemble
Stacking Ensemble (Tuned),0.9836345039209001,0.9717514124293786,0.8,0.8775510204081632,0.9814056163047384,tuned,Stacking Ensemble
